iter	RMSE
0	52.87056757
1	49.73363388
2	46.8379051
3	44.08817224
4	41.55971759
5	39.23855529
6	37.01641551
7	34.99319462
8	33.0666668
9	31.28188982
10	29.62175278
11	28.09390007
12	26.68015184
13	25.40118952
14	24.22886649
15	23.15532526
16	22.15239797
17	21.24566632
18	20.39303317
19	19.59649138
20	18.86025736
21	18.19168839
22	17.5789941
23	17.03833496
24	16.5677583
25	16.11238343
26	15.69677008
27	15.31991604
28	14.98111739
29	14.6672249
30	14.39047626
31	14.13677962
32	13.8951259
33	13.68575261
34	13.49613293
35	13.34127133
36	13.18115524
37	13.03741477
38	12.90600857
39	12.78238897
40	12.67437693
41	12.57686862
42	12.48337161
43	12.39770417
44	12.32221903
45	12.25532234
46	12.18891186
47	12.12964836
48	12.07090182
49	12.02174172
50	11.96924337
51	11.91936861
52	11.88699139
53	11.84853078
54	11.81373023
55	11.77899011
56	11.75765685
57	11.72213877
58	11.70228278
59	11.6702587
60	11.63716048
61	11.61524483
62	11.59093752
63	11.57229494
64	11.55219934
65	11.5253853
66	11.51028762
67	11.49114439
68	11.48051953
69	11.46651184
70	11.45613854
71	11.44334179
72	11.43196994
73	11.42002032
74	11.40551244
75	11.3951962
76	11.38304637
77	11.36712593
78	11.36181542
79	11.3541665
80	11.34701165
81	11.33923634
82	11.32682385
83	11.31967559
84	11.3105439
85	11.30071549
86	11.28958512
87	11.27760153
88	11.27018108
89	11.26046017
90	11.25138502
91	11.23821999
92	11.22908554
93	11.22225582
94	11.21361614
95	11.20834538
96	11.19853462
97	11.19179797
98	11.18536159
99	11.17878895
100	11.17059568
101	11.16596681
102	11.16320909
103	11.15585634
104	11.15111093
105	11.14465861
106	11.14212361
107	11.13825647
108	11.1325134
109	11.12797616
110	11.12225471
111	11.11451603
112	11.10741909
113	11.1004068
114	11.09400973
115	11.08812403
116	11.08120379
117	11.07639496
118	11.07040754
119	11.06550482
120	11.06327284
121	11.05302935
122	11.04424467
123	11.03806789
124	11.02860691
125	11.01763992
126	11.00975059
127	11.00473285
128	10.99958257
129	10.99665428
130	10.98997878
131	10.98819555
132	10.98137248
133	10.97928243
134	10.9727321
135	10.96991406
136	10.96455753
137	10.95833232
138	10.95600481
139	10.94911392
140	10.94377371
141	10.93647847
142	10.92827035
143	10.92261242
144	10.91877556
145	10.91272731
146	10.90524473
147	10.90177519
148	10.89425613
149	10.88443978
150	10.87850039
151	10.87178607
152	10.86309507
153	10.85667861
154	10.85125667
155	10.84625158
156	10.84382271
157	10.83836931
158	10.83306148
159	10.83023861
160	10.82700576
161	10.81903719
162	10.80553355
163	10.80200032
164	10.79880378
165	10.79488931
166	10.78765948
167	10.78170269
168	10.77615338
169	10.77018483
170	10.76334832
171	10.75843517
172	10.75452623
173	10.74890482
174	10.74272589
175	10.73577498
176	10.73053615
177	10.72451458
178	10.72035208
179	10.71541229
180	10.71052312
181	10.70762215
182	10.70317405
183	10.69846427
184	10.69345536
185	10.68825939
186	10.68411003
187	10.67992861
188	10.67688474
189	10.66934823
190	10.66408794
191	10.65979422
192	10.65636983
193	10.65313575
194	10.64807605
195	10.6414135
196	10.63667179
197	10.62926487
198	10.62591257
199	10.62230689
200	10.61747972
201	10.61233092
202	10.60695198
203	10.60396544
204	10.59953807
205	10.59480835
206	10.59095461
207	10.5852167
208	10.58180722
209	10.57706401
210	10.57293361
211	10.56981088
212	10.56669699
213	10.56376114
214	10.56079545
215	10.55648696
216	10.55191968
217	10.5478047
218	10.5440968
219	10.54041624
220	10.53642449
221	10.53261953
222	10.52846989
223	10.52645794
224	10.51865594
225	10.51517867
226	10.51177075
227	10.50828542
228	10.50530075
229	10.50141132
230	10.49737393
231	10.49444212
232	10.49196821
233	10.48996377
234	10.48610373
235	10.48255442
236	10.47872582
237	10.47444997
238	10.47143202
239	10.46864096
240	10.46389492
241	10.46143567
242	10.45700522
243	10.45432335
244	10.44990494
245	10.44251697
246	10.43721007
247	10.43439064
248	10.43277371
249	10.43115657
250	10.4286557
251	10.4228714
252	10.41959088
253	10.41370403
254	10.411032
255	10.40595754
256	10.40402906
257	10.3995258
258	10.39781088
259	10.39579548
260	10.39230918
261	10.38839848
262	10.38424918
263	10.38100268
264	10.378988
265	10.37672289
266	10.37494424
267	10.36919232
268	10.36622379
269	10.36209311
270	10.35977955
271	10.35528366
272	10.35162483
273	10.34979054
274	10.34756479
275	10.34513219
276	10.34327562
277	10.34042278
278	10.33404468
279	10.33066035
280	10.3285589
281	10.32560512
282	10.32338128
283	10.32140838
284	10.3195439
285	10.31656478
286	10.31089832
287	10.3074086
288	10.30441449
289	10.29728459
290	10.29510022
291	10.29240844
292	10.28982976
293	10.28538695
294	10.28228323
295	10.27755327
296	10.27499303
297	10.27348418
298	10.27054714
299	10.26843164
300	10.26599276
301	10.2631418
302	10.26131203
303	10.25886297
304	10.25641851
305	10.25445155
306	10.25243438
307	10.24929298
308	10.24707901
309	10.24139678
310	10.23989762
311	10.23619132
312	10.23430687
313	10.23174102
314	10.2298413
315	10.22516679
316	10.22270602
317	10.22091249
318	10.21897013
319	10.21763448
320	10.21655715
321	10.21193251
322	10.20937015
323	10.20606615
324	10.20202528
325	10.19630224
326	10.19395523
327	10.19125055
328	10.1892063
329	10.18735911
330	10.18475846
331	10.18321675
332	10.1823743
333	10.17929335
334	10.17111534
335	10.16668604
336	10.16506544
337	10.16243507
338	10.16066584
339	10.15872286
340	10.15537123
341	10.15369508
342	10.15150478
343	10.14889676
344	10.14714672
345	10.14489377
