iter	RMSE
0	51.46575778
1	48.42762925
2	45.59172928
3	42.93071814
4	40.41042323
5	38.12034128
6	35.93476002
7	33.89640717
8	31.95361419
9	30.14269553
10	28.48786454
11	26.96341432
12	25.56567387
13	24.23036609
14	23.02759382
15	21.84081306
16	20.79114316
17	19.81171798
18	18.83327435
19	17.96016094
20	17.15188828
21	16.43304561
22	15.73444832
23	15.04401597
24	14.41137054
25	13.82176298
26	13.30161122
27	12.83071293
28	12.37842699
29	11.93140579
30	11.5607462
31	11.18458887
32	10.85853031
33	10.54815826
34	10.25964118
35	9.995515705
36	9.745345038
37	9.527873042
38	9.311103457
39	9.129769704
40	8.940553759
41	8.780267036
42	8.628338018
43	8.483869408
44	8.342400558
45	8.21876972
46	8.108464216
47	7.989723272
48	7.876725794
49	7.775643768
50	7.663407491
51	7.572544138
52	7.484906822
53	7.407764365
54	7.326929953
55	7.232310412
56	7.164135924
57	7.091128594
58	7.031759221
59	6.964193028
60	6.902919769
61	6.853216225
62	6.811804761
63	6.76248247
64	6.713813905
65	6.6604205
66	6.621375257
67	6.575671199
68	6.544635319
69	6.514364267
70	6.472465432
71	6.444889664
72	6.395912745
73	6.364397372
74	6.335997591
75	6.308879572
76	6.2797364
77	6.261627287
78	6.228196698
79	6.206530513
80	6.181574724
81	6.157031525
82	6.135152408
83	6.098786197
84	6.073451358
85	6.057433868
86	6.03205821
87	6.004958672
88	5.981860646
89	5.961772541
90	5.947439881
91	5.931677427
92	5.909861969
93	5.887578279
94	5.875295248
95	5.859899129
96	5.849821941
97	5.835916339
98	5.819606636
99	5.797865589
100	5.786809321
101	5.768550026
102	5.743262215
103	5.723914991
104	5.708380044
105	5.693941675
106	5.681920741
107	5.667513378
108	5.650904839
109	5.637302666
110	5.62126936
111	5.608224752
112	5.589021126
113	5.578862309
114	5.569520061
115	5.556596363
116	5.540429124
117	5.533323449
118	5.513206733
119	5.501954502
120	5.490005504
121	5.477451627
122	5.467294962
123	5.456753654
124	5.452044517
125	5.442435319
126	5.432197344
127	5.422209493
128	5.411705738
129	5.400135759
130	5.385482865
131	5.37966413
132	5.371503479
133	5.360063118
134	5.352704053
135	5.346700354
136	5.342273441
137	5.330164284
138	5.324007134
139	5.317804429
140	5.30971478
141	5.302653188
142	5.293204261
143	5.284599252
144	5.276236978
145	5.269063611
146	5.261035318
147	5.255768943
148	5.25028424
149	5.243458669
150	5.232016733
