iter	Passed	Remaining
0	234	234416
1	240	120176
2	244	81344
3	249	62170
4	253	50463
5	257	42588
6	262	37179
7	265	32966
8	269	29663
9	272	27023
10	278	25056
11	282	23250
12	286	21715
13	289	20397
14	294	19357
15	298	18352
16	302	17470
17	305	16683
18	310	16032
19	314	15399
20	317	14820
21	321	14305
22	327	13922
23	332	13514
24	336	13141
25	342	12838
26	347	12520
27	351	12204
28	356	11929
29	360	11654
30	364	11385
31	368	11148
32	372	10927
33	376	10698
34	380	10478
35	384	10283
36	388	10104
37	391	9915
38	395	9735
39	398	9571
40	402	9412
41	406	9263
42	409	9111
43	413	8976
44	416	8838
45	420	8728
46	426	8653
47	431	8549
48	438	8504
49	442	8405
50	446	8306
51	451	8235
52	456	8149
53	459	8058
54	464	7984
55	470	7933
56	474	7847
57	477	7760
58	481	7676
59	485	7602
60	489	7537
61	494	7474
62	499	7428
63	503	7364
64	507	7303
65	511	7240
66	517	7205
67	521	7148
68	525	7091
69	529	7033
70	536	7018
71	540	6966
72	544	6913
73	549	6873
74	553	6825
75	557	6781
76	562	6738
77	567	6704
78	572	6669
79	575	6623
80	580	6591
81	585	6549
82	588	6502
83	592	6457
84	596	6426
85	600	6384
86	604	6342
87	608	6303
88	613	6282
89	617	6243
90	621	6205
91	625	6169
92	631	6159
93	635	6127
94	639	6091
95	643	6062
96	647	6028
97	651	5998
98	655	5965
99	659	5936
100	663	5903
101	667	5874
102	670	5842
103	675	5817
104	679	5789
105	682	5759
106	686	5729
107	691	5709
108	695	5683
109	699	5655
110	702	5629
111	707	5606
112	711	5586
113	716	5564
114	720	5542
115	725	5531
116	730	5514
117	734	5489
118	738	5465
119	743	5453
120	752	5469
121	763	5493
122	772	5507
123	780	5517
124	789	5525
125	796	5525
126	800	5503
127	806	5493
128	810	5474
129	814	5449
130	818	5426
131	825	5428
132	831	5419
133	834	5392
134	838	5370
135	841	5344
136	844	5322
137	849	5303
138	853	5289
139	859	5278
140	864	5269
141	869	5254
142	874	5239
143	879	5230
144	885	5219
145	892	5221
146	897	5207
147	902	5197
148	907	5180
149	911	5164
150	916	5150
151	920	5137
152	923	5114
153	926	5091
154	929	5068
155	934	5055
156	937	5036
157	941	5016
158	944	4994
159	947	4973
160	951	4956
161	954	4936
162	957	4916
163	960	4895
164	963	4875
165	967	4859
166	970	4840
167	973	4821
168	976	4802
169	980	4785
170	983	4768
171	986	4749
172	989	4729
173	992	4711
174	995	4694
175	999	4679
176	1002	4661
177	1005	4643
178	1008	4626
179	1011	4609
180	1015	4595
181	1018	4578
182	1021	4560
183	1024	4543
184	1028	4529
185	1032	4520
186	1036	4506
187	1039	4489
188	1042	4473
189	1046	4460
190	1049	4445
191	1053	4431
192	1056	4415
193	1059	4399
194	1063	4388
195	1066	4374
196	1069	4360
197	1072	4345
198	1076	4331
199	1079	4317
200	1082	4303
201	1085	4288
202	1088	4273
203	1091	4260
204	1095	4247
205	1098	4233
206	1101	4218
207	1104	4204
208	1107	4190
209	1111	4181
210	1114	4168
211	1118	4156
212	1121	4142
213	1125	4132
214	1129	4122
215	1132	4109
216	1135	4097
217	1138	4085
218	1143	4078
219	1147	4068
220	1150	4056
221	1153	4043
222	1158	4035
223	1161	4023
224	1164	4010
225	1167	3998
226	1170	3987
227	1174	3977
228	1178	3969
229	1183	3962
230	1189	3958
231	1193	3952
232	1198	3943
233	1202	3935
234	1207	3930
235	1212	3923
236	1216	3916
237	1221	3911
238	1225	3902
239	1229	3894
240	1233	3884
241	1243	3894
242	1249	3891
243	1255	3889
244	1261	3887
245	1265	3879
246	1270	3873
247	1276	3871
248	1282	3867
249	1289	3867
250	1295	3864
251	1308	3883
252	1316	3888
253	1324	3890
254	1328	3881
255	1332	3872
256	1338	3868
257	1343	3862
258	1347	3854
259	1354	3855
260	1358	3847
261	1362	3838
262	1368	3834
263	1372	3825
264	1375	3816
265	1379	3807
266	1384	3800
267	1387	3790
268	1390	3779
269	1394	3769
270	1398	3761
271	1401	3751
272	1405	3741
273	1408	3731
274	1411	3722
275	1415	3713
276	1419	3703
277	1422	3694
278	1425	3683
279	1429	3675
280	1433	3667
281	1437	3658
282	1440	3649
283	1443	3639
284	1447	3631
285	1450	3621
286	1454	3613
287	1457	3603
288	1460	3593
289	1464	3584
290	1467	3575
291	1470	3565
292	1473	3555
293	1476	3545
294	1480	3538
295	1483	3528
296	1486	3519
297	1489	3509
298	1492	3499
299	1496	3492
300	1499	3483
